模型类型,数据集类型,指标,平均值,标准差,平均值 ± 标准差,变异系数(CV)
Hybrid Linear Model,测试集,决定系数,0.4165,0.7409,0.4165 ± 0.7409,1.7789
Hybrid Linear Model,测试集,平均绝对误差,33.9697,21.1193,33.9697 ± 21.1193,0.6217
Hybrid Linear Model,测试集,中位数绝对误差,22.6476,11.2309,22.6476 ± 11.2309,0.4959
Hybrid Polynomial Model (degree=2),验证集,均方误差,580.6279,312.2036,580.6279 ± 312.2036,0.5377
Hybrid Polynomial Model (degree=2),验证集,决定系数,0.7983,0.1517,0.7983 ± 0.1517,0.1900
Hybrid Polynomial Model (degree=2),验证集,平均绝对误差,17.8006,4.9028,17.8006 ± 4.9028,0.2754
Hybrid Polynomial Model (degree=2),验证集,中位数绝对误差,12.5041,5.0672,12.5041 ± 5.0672,0.4052
Hybrid Polynomial Model (degree=2),测试集,均方误差,1290.2455,857.5476,1290.2455 ± 857.5476,0.6646
Hybrid Polynomial Model (degree=2),测试集,决定系数,0.6597,0.1960,0.6597 ± 0.1960,0.2971
Hybrid Polynomial Model (degree=2),测试集,平均绝对误差,25.7071,8.2114,25.7071 ± 8.2114,0.3194
Hybrid Polynomial Model (degree=2),测试集,中位数绝对误差,20.7412,11.7947,20.7412 ± 11.7947,0.5687
Hybrid Polynomial Model (degree=3),验证集,均方误差,3821.5851,3622.9674,3821.5851 ± 3622.9674,0.9480
Hybrid Polynomial Model (degree=3),验证集,决定系数,-0.1592,1.1731,-0.1592 ± 1.1731,-7.3671
Hybrid Polynomial Model (degree=3),验证集,平均绝对误差,38.2792,15.4833,38.2792 ± 15.4833,0.4045
Hybrid Polynomial Model (degree=3),验证集,中位数绝对误差,25.2711,13.0775,25.2711 ± 13.0775,0.5175
Hybrid Polynomial Model (degree=3),测试集,均方误差,3939.5931,2761.2103,3939.5931 ± 2761.2103,0.7009
Hybrid Polynomial Model (degree=3),测试集,决定系数,-0.3771,1.4795,-0.3771 ± 1.4795,-3.9236
Hybrid Polynomial Model (degree=3),测试集,平均绝对误差,38.0179,11.5291,38.0179 ± 11.5291,0.3033
Hybrid Polynomial Model (degree=3),测试集,中位数绝对误差,22.9429,10.9502,22.9429 ± 10.9502,0.4773
